#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         ranlux|  1.99e+07  |1397750254|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.96738043|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.97485210|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.40683335|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.34481997|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.32992887|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99919480|   WEAK   
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.12016427|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.80243318|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.72327165|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.72879473|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.50153299|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.22640994|  PASSED  
        diehard_sums|   0|       100|     100|0.12945551|  PASSED  
        diehard_runs|   0|    100000|     100|0.48736207|  PASSED  
        diehard_runs|   0|    100000|     100|0.64262485|  PASSED  
       diehard_craps|   0|    200000|     100|0.64404488|  PASSED  
       diehard_craps|   0|    200000|     100|0.88539585|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.08322696|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.79536352|  PASSED  
         sts_monobit|   1|    100000|     100|0.15452164|  PASSED  
            sts_runs|   2|    100000|     100|0.28658306|  PASSED  
          sts_serial|   1|    100000|     100|0.92894892|  PASSED  
          sts_serial|   2|    100000|     100|0.72411365|  PASSED  
          sts_serial|   3|    100000|     100|0.90354721|  PASSED  
          sts_serial|   3|    100000|     100|0.97061334|  PASSED  
          sts_serial|   4|    100000|     100|0.29006205|  PASSED  
          sts_serial|   4|    100000|     100|0.95945294|  PASSED  
          sts_serial|   5|    100000|     100|0.83880912|  PASSED  
          sts_serial|   5|    100000|     100|0.65106550|  PASSED  
          sts_serial|   6|    100000|     100|0.23731582|  PASSED  
          sts_serial|   6|    100000|     100|0.39191719|  PASSED  
          sts_serial|   7|    100000|     100|0.47698116|  PASSED  
          sts_serial|   7|    100000|     100|0.10380584|  PASSED  
          sts_serial|   8|    100000|     100|0.47640941|  PASSED  
          sts_serial|   8|    100000|     100|0.93240976|  PASSED  
          sts_serial|   9|    100000|     100|0.51306592|  PASSED  
          sts_serial|   9|    100000|     100|0.72305346|  PASSED  
          sts_serial|  10|    100000|     100|0.37118810|  PASSED  
          sts_serial|  10|    100000|     100|0.79168927|  PASSED  
          sts_serial|  11|    100000|     100|0.93562541|  PASSED  
